Sr.no,Year,Mo,Dy,Hr,Mn,Sec,TsunamiNanEventNanValidity,TsunamiNanCauseNanCode,EarthquakeNanMagnitude,Vol,MoreNanInfo,Deposits,Country,LocationNanName,Latitude,Longitude,MaximumNanWaterNanHeightNan(m),NumberNanofNanRunups,TsunamiNanMagnitudeNan(Abe),TsunamiNanMagnitudeNan(Iida),TsunamiNanIntensity,Deaths,DeathNanDescription,Missing,MissingNanDescription,Injuries,InjuriesNanDescription,DamageNan($Mil),DamageNanDescription,HousesNanDestroyed,HousesNanDestroyedNanDescription,HousesNanDamaged,HousesNanDamagedNanDescription,TotalNanDeaths,TotalNanDeathNanDescription,TotalNanMissing,TotalNanMissingNanDescription,TotalNanInjuries,TotalNanInjuriesNanDescription,TotalNanDamageNan($Mil),TotalNanDamageNanDescription,TotalNanHousesNanDestroyed,TotalNanHousesNanDestroyedNanDescription,TotalNanHousesNanDamaged,TotalNanHousesNanDamagedNanDescription
30,1902,8,30,,,,4,6,,4508,,0,MARTINIQUENan(FRENCHNanTERRITORY),MOUNTNanPELEE,14.82,-61.17,1,1,,,,,,,,,,,,,,,,1500,4,,,,,,,,,,
31,1902,9,27,,,,1,2,,,,0,GUATEMALA,OCOS,14,-91,,0,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
32,1903,2,10,2,28,,1,1,,,,0,USANanTERRITORY,"GUAM,NanMARIANANanISLANDS",14,143.3,0.15,1,,,2,,,,,,,,,,,,,,,,,,,,1,,,,1
33,1903,3,30,,,,2,1,6.5,,,0,INDONESIA,BANDANanSEA,-3,127.5,1,2,,-0.5,0,,,,,,,,,,,,,,,,,,,,,,,,
34,1903,5,13,,,,1,1,,,,0,ITALY,CALABRIANNanARC,38.1,13.4,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,
35,1903,7,16,,,,1,1,,,,0,MEXICO,S.NanMEXICO,16.7,-99.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1903,8,,,,,2,6,,,,0,USA,"COOKNanINLET,NanAK",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1903,9,7,,,,1,1,,,,0,TAIWAN,TAIWAN,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,
38,1903,9,26,,,,2,1,,,,0,CHILE,NORTHERNNanCHILE,-20.2,-70.15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1903,10,6,6,30,,-1,9,,,,0,USA,HAWAII,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1903,10,8,,,,-1,9,,,,0,USA,HAWAII,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1903,10,20,,,,3,0,,,,0,CANADA,"BLACKLEADNanISLAND,NanCUMBERLANDNanSOUND",64.98,-66.2,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
42,1903,11,17,,,,1,9,,,,0,USA,HAWAII,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1903,11,24,,,,4,9,,,,0,USA,HAWAII,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1903,11,29,,,,0,9,,,,0,USA,HAWAII,,,15.7,3,,3.9,3,,,,,,,,,,,,,,,,,,,,,,,,
45,1903,12,7,14,25,,3,1,6.5,,,0,CHILE,NORTHERNNanCHILE,-28.5,-71,,1,,,,,,,,,,,,,,,,,1,,,,,,2,,2,,
46,1904,1,20,14,52,6,1,1,7.9,,,0,COLOMBIA,OFFNanTHENanCOASTNanPANAMA-COLOMBIA,7,-79,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1904,2,2,,,,2,0,,,,0,INDONESIA,CELEBESNanSEA,1.5,120.8,,1,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
48,1904,3,30,,,,-1,9,,,,0,USA,WASHINGTON-OREGON,,,,5,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
49,1904,6,25,14,45,36,4,1,8.3,,,0,RUSSIA,"KAMCHATKANanPENINSULA,NanRUSSIA",52,159,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,
50,1904,6,25,21,0,36,3,1,8.1,,,0,RUSSIA,"KAMCHATKANanPENINSULA,NanRUSSIA",52,159,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,
51,1904,7,5,,,,1,1,,,,0,INDONESIA,BANDANanSEA,-3.6,128.7,,1,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,
52,1904,8,8,22,50,0,1,1,7.2,,,0,NEWNanZEALAND,CAPENanTURNAGAIN,-40.4,176.4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1904,8,25,10,0,,1,2,,,,0,NEWNanZEALAND,NEWNanZEALAND,-39.12,177.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1904,9,7,,,,1,1,,,,0,INDONESIA,S.NanJAVA,-7.7,109,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,
55,1904,12,20,5,44,18,2,1,7.2,,,0,PANAMA,BOCASNanDELNanTORO,9.2,-82.8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1904,12,30,,,,-1,0,,,,0,COOKNanISLANDS,COOKNanIS.,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1905,1,16,,,,0,8,,,,0,NORWAY,LOEN,61.866,6.85,40.5,4,,,,61,2,,,,,,2,,2,,,61,2,,,,,,2,,2,,
58,1905,1,20,2,32,30,2,1,6.3,,,0,GREECE,AEGEANNanSEA,39.66,22.83,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1905,1,20,18,23,,3,1,6.8,,,0,COSTANanRICA,GULFNanOFNanNICOYA,9.85,-84.68,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
60,1905,1,,,,,1,1,,,,0,MEXICO,REVILLAGIGEDONanISLANDS,19,-113,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1905,2,26,6,22,,2,2,,,,0,NEWNanZEALAND,N.NanNEWNanZEALAND,-40.5,175,,1,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,
62,1905,3,19,,,,2,1,,,,0,VANUATU,MALONanPASS,,,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1905,4,4,0,50,,0,1,7.8,,,0,INDIA,"KANGRA,NanINDIA",33,76,,1,,,,,,,,,,,,,,,,19000,4,,,,,,4,,,,
64,1905,7,4,,,,4,8,,,,0,USA,"DISENCHANTMENTNanBAY,NanAK",60,-139.58,33.53,4,,5.1,2.5,,,,,,,,,,,,,,,,,,,,,,,,
65,1905,7,6,16,21,0,3,1,7,,,0,JAPAN,JAPAN:NanNanOFFNanFUKUSHIMA,37.4,142.6,,1,,-1,,57,2,,,,,,,,,,,57,2,,,,,,,,,,
66,1905,8,4,,,,2,6,,2068,,0,SAMOA,MATAVANUNanVOLCANO,-13.612,-172.525,,0,,,0.5,,,,,,,,,,,,,,,,,,,,3,,3,,
