Sr.no,Year,Mo,Dy,Hr,Mn,Sec,TsunamiNanEventNanValidity,TsunamiNanCauseNanCode,EarthquakeNanMagnitude,Vol,MoreNanInfo,Deposits,Country,LocationNanName,Latitude,Longitude,MaximumNanWaterNanHeightNan(m),NumberNanofNanRunups,TsunamiNanMagnitudeNan(Abe),TsunamiNanMagnitudeNan(Iida),TsunamiNanIntensity,Deaths,DeathNanDescription,Missing,MissingNanDescription,Injuries,InjuriesNanDescription,DamageNan($Mil),DamageNanDescription,HousesNanDestroyed,HousesNanDestroyedNanDescription,HousesNanDamaged,HousesNanDamagedNanDescription,TotalNanDeaths,TotalNanDeathNanDescription,TotalNanMissing,TotalNanMissingNanDescription,TotalNanInjuries,TotalNanInjuriesNanDescription,TotalNanDamageNan($Mil),TotalNanDamageNanDescription,TotalNanHousesNanDestroyed,TotalNanHousesNanDestroyedNanDescription,TotalNanHousesNanDamaged,TotalNanHousesNanDamagedNanDescription
128,1909,10,6,2,41,,0,1,,,,0,USA,UTAH,41.8,-112.7,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
129,1909,12,9,23,28,,4,1,8,,,0,USANanTERRITORY,"GUAM,NanMARIANANanISLANDS",12.5,145,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,
130,1910,2,25,,,,1,1,6,,,0,PAPUANanNEWNanGUINEA,MATUPINanHARBOR,-4.25,152.25,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,
131,1910,3,20,,,,0,8,,,,0,NEWNanZEALAND,"LAKENanTAUPO,NanNORTHNanISLAND",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,1910,11,5,,,,1,0,,,,0,USA,"NOME,NanAK",64,-165,,2,,,,,,,,,,,2,,2,,,,,,,,,,2,,2,,
133,1910,11,10,12,19,54,3,1,7.2,,,0,VANUATU,VANUATUNanISLANDS,-14,166.5,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,
134,1910,11,21,12,45,,0,9,,,,0,USA,"SANNanFRANCISCO,NanCA",,,0.3,1,,,-1.5,,,,,,,,,,,,,,,,,,,,,,,,
135,1910,12,18,2,42,,2,1,6.7,,,0,INDONESIA,SULAWESI,4,127,,1,,-1.3,-1,,,,,,,,,,,,,,,,,,,,1,,,,1
136,1910,12,30,,,,1,1,6.2,,,0,PHILIPPINES,SULUNanSEA,9,125.5,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,
137,1911,1,30,,,,4,6,,761,,2,PHILIPPINES,"TAAL,NanLUZONNanISLAND",14.002,120.993,3,2,,,,50,1,,,,,,1,,1,,,1335,4,,,199,3,,3,543,3,,1
138,1911,2,18,21,35,12,3,1,6.7,,,0,ALBANIA,OCHRIDANanLAKE,40.9,20.8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,1911,5,8,,,,2,1,,,,0,PAPUANanNEWNanGUINEA,"BLANCHENanBAY,NanBISMARCKNanSEA",-4.25,152.25,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,
140,1911,5,11,,,,2,0,6.6,,,0,TOGO,GOLDNanCOAST,6.1,1.2,5,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
141,1911,6,15,14,26,,4,1,8,,,0,JAPAN,RYUKYUNanISLANDS,28,130,,2,,1,1.5,,,,,,,,2,,3,,,12,1,,,,,,3,422,3,,
142,1911,7,12,4,7,36,1,1,7.8,,,0,PHILIPPINES,PHILIPPINENanTRENCH,9,126,,4,,,,,,,,,,,,,,,,,,,,,,,3,,,,3
143,1911,9,15,13,10,,2,1,7.3,,,0,CHILE,NORTHERNNanCHILE,-20,-72,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,1911,9,22,5,1,24,1,3,6.9,,,0,USA,"PRINCENanWILLIAMNanSOUND,NanAK",60.5,-149,,1,,,0.5,,,,,,,,,,,,,,,,,,,,1,,,,
145,1911,11,3,,,,3,8,,4807,,0,TRINIDADNanANDNanTOBAGO,TRINIDAD,10.5,-61.2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,1912,1,24,16,23,14,2,1,6.4,,,0,GREECE,IONIANNanSEA,37.928,21.013,,0,,,,,,,,,,,,,,,,8,1,,,40,1,,2,,,,
147,1912,4,13,,,,0,8,,,,0,USA,"SOUTHERNNanSHORE,NanLAKENanERIENan(OHIO)",42,-81,,2,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
148,1912,6,8,4,42,,3,1,6.6,,,0,JAPAN,SANRIKU,40.5,142,0.5,1,,-1,0,,,,,,,,,,,,,,,,,,,,1,,,,
149,1912,8,9,1,29,2.1,4,3,7.2,,,0,TURKEY,MARMARANanSEA,40.73,27.121,2.7,6,,,,,,,,,,,,,,,,2800,4,,,7000,4,,4,24700,4,15400,4
150,1912,10,31,17,24,,1,1,6.9,,,0,"MICRONESIA,NanFED.NanSTATESNanOF",CAROLINENanISLANDS,7,138,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,
151,1912,12,6,,,,1,1,,,,0,"MICRONESIA,NanFED.NanSTATESNanOF","YAPNanISLANDS,NanCAROLINENanISLANDS",,,,1,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
152,1913,2,22,1,6,,3,1,6.8,,,0,NEWNanZEALAND,TASMANNanSEA,-41.8,171.5,1.5,4,,0.6,0.5,,,,,,,,,,,,,,,,,,,,1,,1,,
153,1913,3,14,8,45,4.3,-1,4,7.8,585,,0,INDONESIA,SANGIHENanISLAND,5.354,126.121,,1,,,,,,,,,,,,,,,,138,3,,,,,,2,,3,,
154,1913,6,9,,,,2,8,,,,0,USA,"LONGPORT,NanNJ",39.314,-74.525,,1,,,,,,,,1,1,0.01,1,,,,,,,,,,,,1,,,,
155,1913,7,28,6,40,,1,1,7,,,0,PERU,S.NanPERU,-16.6,-73.3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,1913,8,6,22,14,24,2,1,7.9,,,0,PERU,S.NanPERU,-17,-74,,0,,,,,,,,,,,,,,,,,2,,,,,,3,,3,,3
157,1913,10,2,4,23,28,2,3,6.7,,,0,PANAMA,OFFNanCOAST,7.1,-80.6,,2,,,,,1,,,,,,,,1,,,,1,,,,,,1,,1,,3
158,1913,10,11,4,6,3,4,1,7,,,0,PAPUANanNEWNanGUINEA,SOLOMONNanSEA,-7,148,0.1,1,,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,
159,1913,12,11,,,,2,0,,,,0,USA,"SANTANanBARBARA,NanS.NanCALIFORNIA",,,4.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,1914,1,12,9,28,,4,4,7.1,867,,2,JAPAN,SEIKAIDO,31.58,130.67,3,1,,1.6,-1,,,,,,,,1,,,,,63,2,,,112,3,19,3,2268,4,,
161,1914,1,12,,,,2,1,,,,0,PERU,CENTRALNanPERU,-12,-76.6,1,2,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,
162,1914,1,15,4,28,,1,1,,,,0,ITALY,LIGURIANNanSEA,43.5,10.2,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,
163,1914,2,26,4,58,12,1,1,7.2,,,0,PERU,S.NanPERU,-17,-72,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,1914,3,14,,,,-1,0,,,,0,INDONESIA,INDONESIA,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,1914,5,26,14,22,47.7,4,1,8.1,,,0,INDONESIA,NW.NanIRIANNanJAYA,-1.829,136.943,0.1,5,,1.5,2,,1,,,,,,,,,,,,3,,,,,,2,,3,,
166,1914,5,,,,,2,0,,,,0,CANADA,GULFNanOFNanSAINTNanLAWRENCE,48.958,-62.133,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,1914,6,25,19,7,25.9,2,1,7.6,,,0,INDONESIA,INDONESIA,-3.924,101.82,,1,,,,,,,,,,,,,,,,20,1,,,20,1,,1,,1,,
168,1914,10,6,19,15,,4,3,,,,0,NEWNanZEALAND,"TOLAGANanBAY,NanNORTHNanISLAND",-37.8,178.2,,0,,,,,,,,,,,,,,,,1,1,,,,,,2,,,,
169,1914,11,27,14,39,42.6,1,3,6.3,,,0,GREECE,IONIANNanSEA,38.582,20.587,3,1,,1.7,4,,,,,,,,,,,,,14,1,,,,,,3,,3,,2
170,1914,12,3,,,,2,0,,,,0,INDONESIA,AMBONNanISLAND,-3.7,128.2,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
171,1915,1,27,1,9,56,2,1,6.6,,,0,GREECE,IONIANNanSEA,38.4,20.6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,1915,2,11,,,,1,9,,,,0,USANanTERRITORY,"MANUANanISLANDS,NanAMERICANNanSAMOA",-14.18,-169.66,2.4,1,,,,3,1,,,,,,,,,,,3,1,,,,,,,,,,
173,1915,5,23,,,,1,1,,,,0,INDONESIA,KAIMANA,-3.644,133.695,0.5,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,
174,1915,8,7,15,4,3,2,1,6.7,,,0,GREECE,IONIANNanSEA,38.5,20.7,1.5,2,,,3,,,,,,,,,,,,,,,,,,,,3,,3,,2
175,1915,8,,,,,1,1,,,,0,PAPUANanNEWNanGUINEA,"HUONNanGULF,NanSOLOMONNanSEA",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,1915,9,7,1,20,48,1,1,7.9,,,0,ELNanSALVADOR,ELNanSALVADOR,14,-89,,1,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
177,1915,11,1,7,23,43,4,1,7.8,,,0,JAPAN,SANRIKU,38.3,142.9,1,3,,,0.5,,,,,,,,,,,,,,,,,,,,1,,,,
178,1915,11,6,,,,2,1,6,,,0,INDONESIA,NW.NanIRIANNanJAYA,-1,136,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,
179,1915,11,18,20,19,18,3,1,6.4,,,0,PHILIPPINES,W.NanLUZONNanISLAND,18,119.5,,1,,,0.5,,,,,,,,,,,,,,,,,,,,1,,,,1
180,1916,1,1,13,20,49.3,3,1,7.9,,,0,PAPUANanNEWNanGUINEA,BISMARCKNanSEA,-4.739,152.548,,1,,1.5,2,,,,,,,,1,,,,,,,,,,,,1,,1,,1
181,1916,1,31,,,,2,1,,,,0,COSTANanRICA,COSTANanRICA-PANAMA,,,,0,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,
182,1916,4,26,2,21,52,4,1,7,,,0,PANAMA,BOCASNanDELNanTORO,9.6,-82,1.3,6,,,,,,,,,,,1,,,,,,,,,,,0.025,1,,,,
183,1916,6,15,,,,2,0,,,,0,NORWAY,DRAMSFJORD,59.62,10.42,1,0,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
184,1916,7,3,23,21,41,4,1,5.1,4743,,0,ITALY,STROMBOLINanISLAND,38.817,15.233,10,3,,,4,,,,,,,,,,,,,,,,,,,,1,,,,1
185,1916,8,16,7,6,22.2,4,1,6,,,0,ITALY,CENTRALNanADRIATIC,44.035,13.009,,1,,,2,,,,,,,,,,,,,4,1,,,60,2,,3,,,,
186,1916,8,29,,,,3,9,,,,0,DOMINICANNanREPUBLIC,SANTONanDOMINGO,,,,1,,,,43,1,,,204,3,,2,,,,,43,1,,,204,3,,2,,,,
187,1916,11,12,,,,2,1,,,,0,VENEZUELA,OCUMARENanDENanLANanCOSTANanDENanORO,10.46,-67.77,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,1917,1,9,,,,1,0,,,,0,INDONESIA,CELEBESNanSEA,1.57,122.72,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,
189,1917,1,20,23,11,34,3,1,6.6,,,0,INDONESIA,BALINanSEA,-7,116,2,2,,1,,,,,,,,,,,,,,1500,4,,,,,,2,,2,,
190,1917,1,25,,,,3,1,6.5,,,0,CHINA,SOUTHNanCHINANanSEA,24.47,118.08,,2,,1,1,,,,,,,,1,,,,,,,,,,,,1,,,,
191,1917,1,30,2,45,36,2,1,7.8,,,0,RUSSIA,KAMCHATKA,56.5,163,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,1917,1,31,3,39,55,3,1,6.4,,,0,PHILIPPINES,CELEBESNanSEA,6,125,1.5,1,,0.6,,,,,,,,,,,,,,7,1,,,2,1,,2,,2,,
193,1917,1,,,,,1,0,,,,0,INDONESIA,LINGANanARCHIPELAGO,-0.25,104.5,,0,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,
194,1917,3,16,,,,2,0,,,,0,INDONESIA,JAVANanSEA,-3.7,116.6,1.5,2,,,1,,,,,,,,2,,,,,,,,,,,,2,,,,
195,1917,5,1,18,27,,4,1,8,,,0,NEWNanZEALAND,KERMADECNanISLANDS,-29.2,-177,0.3,6,,3.6,3,,,,,,,,,,,,,,,,,,,,,,,,
196,1917,5,6,12,19,,4,1,5.8,,,0,TAIWAN,TAIWAN,23.2,121.6,0.5,1,,-1,-0.5,,,,,,,,,,,,,,,,,,,,,,,,
197,1917,6,26,5,49,42,4,1,8.3,,,1,SAMOA,SAMOANanISLANDS,-15.5,-173,12.2,17,,3.6,3,2,1,,,,,,2,,3,,,2,1,,,,,,2,,3,,
198,1917,7,29,21,52,31,2,1,7.5,,,0,PAPUANanNEWNanGUINEA,BISMARCKNanSEA,-3.705,141.729,0.9,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
199,1917,8,16,,,,3,8,,,,0,USA,"TAKUNanINLET,NanJUNEAU,NanAK",58.204,-134.147,2.4,1,,,,1,1,,,,,,1,,,,,1,1,,,,,,1,,,,
200,1917,8,23,,,,2,0,,,,0,INDONESIA,BANDANanSEA,-3.6,128.7,,1,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
201,1917,9,1,,,,2,0,,,,0,FRENCHNanPOLYNESIA,MAUPIHAA,,,1.9,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
202,1917,11,16,3,19,28,2,1,7.5,,,0,NEWNanZEALAND,KERMADECNanISLANDS,-29,-177.5,2.5,1,,1.3,1,,,,,,,,,,,,,,,,,,,,,,,,
203,1917,12,6,13,4,,4,10,,,,0,CANADA,"HALIFAX,NanNOVANanSCOTIA",44.633,-63.583,7,5,,,,,2,,,,,,,,,,,2000,4,,,9000,4,,,,,,
204,1918,2,13,6,7,13,3,3,7.5,,,0,CHINA,GUANGDONGNanPROVINCE,23.5,117.2,,1,,1,-1,,,,,,,,,,,,,2000,4,,,,4,,4,,4,,
205,1918,5,20,17,55,10,2,1,7.9,,,0,CHILE,NORTHERNNanCHILE,-28.5,-71.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,1918,7,18,2,30,,1,6,,4784,,0,INDONESIA,SULAWESI,3.138,125.491,0.08,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,
207,1918,8,14,,,,0,1,5.5,,,0,CHINA,YUNNANNanPROVINCE,26.9,103,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
208,1918,8,15,12,18,24,4,1,8.3,,,0,PHILIPPINES,CELEBESNanSEA,5.538,123.994,7.2,10,,2.8,2.5,6,1,,,,,,2,,,,,52,2,,,,,,3,,,,
209,1918,9,7,17,16,,4,1,8.2,,,0,RUSSIA,S.NanKURILNanISLANDS,45.5,151.5,12,22,,3.6,3,23,1,,,7,1,,2,,2,19,1,23,1,,,7,1,,2,,2,19,1
210,1918,10,11,14,14,42,4,3,7.1,,,4,USANanTERRITORY,PUERTONanRICO:NanMONANanPASSAGE,18.7,-67.189,6.1,21,,2.6,,140,3,,,,,4,2,,,,,144,3,,,,,4,2,,,,
211,1918,10,25,3,43,,3,1,6.4,,,0,USANanTERRITORY,PUERTONanRICO,18.441,-67.214,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,1918,11,8,4,38,,4,1,7.8,,,0,RUSSIA,S.NanKURILNanISLANDS,44.5,151.5,0.5,8,,1,2,,,,,,,,,,,,,,,,,,,,,,,,
213,1918,12,4,11,47,48,4,1,7.8,,,0,CHILE,NORTHERNNanCHILE,-26,-71,5,4,,2.3,2.5,,,,,,,,1,,,,,,1,,,,,,3,,3,,
214,1918,,,,,,1,6,,4238,,0,ICELAND,ICELAND,63.63,-19.05,,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,
215,1919,1,1,1,33,42,1,1,7.4,,,0,PHILIPPINES,"MINDANAONanISLAND,NanPHILIPPINES",8,126,0.44,3,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,
216,1919,1,1,2,59,57,1,1,8.3,,,0,TONGA,TONGANanISLANDS,-19.6,-176.6,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,1919,1,,,,,-1,0,,,,0,USA,HAWAII,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,1919,2,13,,,,2,0,,,,0,INDONESIA,TIMORNanSEA,-9,124.85,,1,,,1.5,,,,,,,,1,,,,,,,,,,,,1,,,,
219,1919,4,3,,,,1,6,,4864,,0,INDONESIA,SULAWESI,3.138,125.491,5,0,,,,,,,,,,,,,,,,,,,,,,,1,,1,,
220,1919,4,9,,,,-1,0,,,,0,USA,HAWAII,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,1919,4,29,,,,-1,1,,,,0,TONGA,TONGANanISLANDS,-19,-172.6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,1919,4,30,7,17,17.3,4,1,8.1,,,1,TONGA,TONGANanISLANDS,-18.352,-172.515,2.5,9,,1.3,1.5,,,,,,,,,,,,,,,,,,,,,,,,
223,1919,5,6,19,41,13,3,1,8.2,,,0,PAPUANanNEWNanGUINEA,SOLOMONNanSEA,-4.806,153.859,,2,,2.6,1,,,,,,,,,,,,,,,,,,,,1,,,,1
224,1919,5,22,17,45,,4,6,,25,,0,ITALY,STROMBOLINanISLAND,38.789,15.213,0.75,5,,,4,,,,,,,,1,,,,,4,1,,,,3,,1,10,1,,3
225,1919,6,29,23,14,13.4,3,1,6.6,,,0,NICARAGUA,GULFNanOFNanFONSECA,12.33,-88.291,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,1919,8,19,,,,0,1,,,,0,VENEZUELA,LAGONanDENanMARACAIBO,10.6,-71.6,,1,,,,,,,,,,,2,,,,,,,,,,,,2,,,,
227,1919,10,2,,,,4,7,,3443,,0,USA,"ALIKA,NanHAWAII",19.23,-155.9,4.3,3,,,2,,,,,,,,1,,,,,,,,,,,,1,,,,
228,1919,10,22,6,6,,-1,1,5.6,,,0,ITALY,TYRRHENIANNanSEA,41.4,12.6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,1919,11,21,,,,1,1,,,,0,INDONESIA,NW.NanIRIANNanJAYA,-2.55,140.75,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,
230,1919,12,26,,,,1,1,,,,0,UKRAINE,CRIMEA,44,33,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,1920,1,29,,,,1,1,,,,0,INDONESIA,N.NanMOLUCCASNanISLANDS,0.87,122.92,2,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
232,1920,2,2,11,22,18,1,1,7.7,,,0,PAPUANanNEWNanGUINEA,SOLOMONNanSEA,-6.5,150,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,
233,1920,8,20,16,15,38,3,1,7,,,0,CHILE,CENTRALNanCHILE,-38,-73.5,1.4,1,,0.5,1,,,,,,,,,,,,,,,,,,,,2,,2,,2
234,1920,8,,,,,-1,1,,,,0,USANanTERRITORY,"PAGONanPAGO,NanAMERICANNanSAMOA",-15,-170,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,1920,9,20,14,39,,3,1,7.8,,,0,VANUATU,VANUATUNanISLANDS,-19.919,168.53,,2,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,
236,1920,12,16,12,5,54.7,0,1,8.3,,,0,CHINA,CHINA:NanGANSUNanANDNanSHANXINanPROVINCES,36.601,105.317,0.75,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,1920,12,18,2,1,57,1,1,5.6,,,0,ALBANIA,ALBANIANNanCOASTS,40.5,19.5,,1,,,5,,3,,,,,,3,,3,,,,3,,,,,,3,,3,,
238,1921,5,14,11,17,45,2,1,6.2,,,0,INDONESIA,MAKASSARNanSTRAIT,0.7,117.9,1,1,,,0.5,,,,,,,,2,,,,,,,,,,,,2,,1,,1
239,1921,8,4,,,,3,1,,,,0,CHINA,"XIAOSI,NanDANDONG,NanLIAONING",40.13,124.38,,0,,,,,,,,,,,2,,1,,,,,,,,,,2,,3,,
240,1921,9,11,4,1,38,4,1,7.5,,,0,INDONESIA,JAVA,-11,111,0.1,3,,-2.3,-2,,,,,,,,,,,,,,,,,,,,,,,,
241,1921,11,11,18,36,8,3,1,7.5,,,0,PHILIPPINES,PHILIPPINENanTRENCH,8,127,,4,,0.5,1,,,,,,,,1,,1,,,,,,,,,,1,,1,,
242,1921,12,16,,,,-1,9,,,,0,USA,HAWAII,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,
243,1922,1,6,14,11,2,2,1,7.2,,,0,PERU,S.NanPERU,-16.5,-73,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,1922,1,19,21,58,58.5,3,1,6.9,,,0,PAPUANanNEWNanGUINEA,BISMARCKNanSEA,-7.111,143.53,1.8,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,
245,1922,2,22,,,,1,1,,,,0,INDONESIA,BANDANanSEA,-3.3,128.9,,1,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
246,1922,2,27,20,39,50,2,1,6.3,,,0,PHILIPPINES,CEBUNanISLAND,10.2,124.1,0.7,3,,-0.5,0,,,,,,,,,,,,,5,1,,,,,,2,,,,2
247,1922,3,1,9,10,23,2,1,6,,,0,PHILIPPINES,SULUNanSEA,9,123.25,,1,,,0.5,,,,,,,,,,,,,,,,,,,,2,,,,2
248,1922,4,10,,,,1,1,,,,0,INDONESIA,SW.NanSUMATRA,-1,100.35,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,
249,1922,5,2,,,,2,0,,,,0,USA,GULFNanOFNanMEXICO,,,0.64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,1922,7,8,,,,1,1,,,,0,INDONESIA,"LHOKNGA,NanACEH",5.5,95.2,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,
251,1922,8,8,3,49,6,2,1,5.6,,,0,GREECE,AEGEANNanSEA,37.5,23.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,1922,9,1,19,16,6,1,1,7.6,,,0,TAIWAN,TAIWAN,24.5,122,,1,,,,,,,,,,,,,,,,5,1,,,7,1,,2,139,3,,
253,1922,10,22,,,,1,0,,,,0,AUSTRALIA,TASMANNanSEA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,1922,11,7,23,0,9,2,1,7,,,0,CHILE,NORTHERNNanCHILE,-28,-72,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,1922,11,11,4,32,51,4,1,8.5,,,0,CHILE,NORTHERNNanCHILE,-28.293,-69.852,9,36,,3.2,2.5,200,3,,,,,,3,,3,,,700,3,,,,,,3,,3,,
256,1922,12,25,3,33,10,3,1,6.3,,,0,NEWNanZEALAND,SE.NanNEWNanZEALAND,-43,173,0.4,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,
257,1923,1,22,9,4,21.3,0,1,7.1,,,0,USA,N.NanCALIFORNIA,40.482,-125.034,0.1,1,,-2,,,,,,,,,,,,,,,,,,,,,1,,,,
258,1923,2,3,16,1,50,4,1,8.4,,,1,RUSSIA,KAMCHATKA,54.486,160.472,8,21,,3,,3,1,,,,,1.5,2,,,,,3,1,,,,,1.5,2,,2,,
259,1923,2,17,,,,3,0,,,,0,CHILE,CENTRALNanCHILE,-35.33,-72.42,1.5,1,,0.6,1.5,,,,,,,,,,,,,,,,,,,,,,,,
260,1923,3,2,16,48,52,3,1,7.2,,,0,PHILIPPINES,"MINDANAONanISLAND,NanPHILIPPINES",6.5,124,,1,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
261,1923,3,4,,,,1,0,,,,0,CHILE,SANNanFELIXNanISLAND,-26.3,-80.1,35,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,
262,1923,4,13,15,31,2,4,1,7.2,,,1,RUSSIA,KAMCHATKA,56.5,162.5,20,11,,4.9,3.5,18,1,,,,,,3,,3,,,18,1,,,,,,3,,3,,
263,1923,5,4,22,26,45,-1,1,7,,,0,CHILE,NORTHERNNanCHILE,-28.75,-71.75,,0,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2
264,1923,5,7,,,,-1,1,,,,0,CHILE,NORTHERNNanCHILE,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,1923,6,1,17,24,0,4,1,7.3,,,0,JAPAN,"KASHIMA,NanJAPAN",35.4,141.8,0.4,1,,-1.3,-1.5,,,,,,,,,,,,,,,,,,,,,,,,
266,1923,7,18,2,24,19,1,1,5.5,,,0,PHILIPPINES,"BUTUAN,NanSULUNanSEA",9.3,125,,1,,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,
267,1923,8,6,,,,1,0,,,,0,USA,"ROCKAWAYNanBEACH,NanNY",40.6,-73.5,,1,,,,2,1,,,,,,,,,,,2,1,,,,,,,,,,
268,1923,8,12,,,,2,1,,,,0,CHILE,NORTHERNNanCHILE,-18.5,-70.3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,1923,8,,,,,1,0,,,,0,KOREA,KOREA,,,,0,,,1.5,,,,,,,,2,,,,,,,,,,,,2,,,,
270,1923,9,1,2,58,37,4,1,7.9,,,1,JAPAN,SAGAMINanBAY,35.1,139.5,13,140,,3.6,3,2144,4,,,166,3,,3,868,3,,,142807,4,43476,4,47000,4,600,4,695000,4,,
271,1923,9,2,2,46,40,4,1,7.7,,,0,JAPAN,RYUKYUNanISLANDS,34.9,140.2,0.3,6,,-1.7,-1.5,,,,,,,,,,,,,,,,,,,,,,,,
272,1923,9,4,,,,-1,9,,,,0,USA,N.NanCALIFORNIA,,,6.1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
273,1923,11,2,21,8,11.5,3,1,7.1,,,0,PAPUANanNEWNanGUINEA,BISMARCKNanSEA,-4.653,154.232,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,1923,11,4,0,4,47.8,1,1,7.1,,,0,PAPUANanNEWNanGUINEA,NEWNanBRITAIN,-4.539,153.107,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,1923,,,,,,2,4,6.1,7444,,0,VIETNAM,OFFNanCOASTNanOFNanCENTRALNanVIETNAM,10.158,109.014,,2,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
276,1924,3,4,10,7,52.2,3,1,6.7,,,0,COSTANanRICA,COSTANanRICA,9.587,-84.515,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,1924,3,15,10,31,24.1,0,1,6.8,,,0,RUSSIA,TATARNanSTRAIT,49.179,142.436,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,1924,4,13,,,,-1,0,,,,0,RUSSIA,TATARNanSTRAIT,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,1924,4,14,16,20,23,4,3,8.3,,,0,PHILIPPINES,E.NanMINDANAONanISLAND,6.5,126.5,,3,,,0.5,,,,,,,,,,,,,,,,,,,,3,,3,,
280,1924,4,16,,,,-1,0,,,,0,RUSSIA,TATARNanSTRAIT,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,1924,5,6,16,9,20,4,3,6.5,,,0,PHILIPPINES,PHILIPPINES,16,118,,1,,1,1.5,,,,,,,,1,,,,,,,,,,,,1,,,,
